Dream Realty,real_estate_agent,Москва,sale,flat,8,2,94.0,20500000.0,, Ясеневая,9,Сосенки,Дубровка,218085.10638297873
do A.S.A.P.,real_estate_agent,Москва,sale,flat,31,2,52.9,21000000.0,Южное Бутово, Поляны,5,Улица Скобелевская,Эталон-Сити,396975.42533081287
Эльмира Эмирова,realtor,Москва,sale,flat,51,2,45.7,22000000.0,Хорошево-Мневники,Шелепихинская набережная,34,Шелепиха,Сердце Столицы,481400.43763676146
ЛИДЕР Риэлти,real_estate_agent,Москва,sale,flat,42,2,46.0,23700000.0,Филевский парк,Багратионовский проезд,5Ак1,Фили,Filicity,515217.39130434784
Century 21 Premium Property,real_estate_agent,Москва,sale,flat,29,2,49.4,24000000.0,Хорошево-Мневники,Шелепихинская набережная,40к3,Народное Ополчение,Sydney City,485829.95951417007
EstateLiga,real_estate_agent,Москва,sale,flat,25,2,48.0,24900000.0,Покровское-Стрешнево,Волоколамское шоссе,81/2с3,Трикотажная,Апартаментный комплекс Level Стрешнево,518750.0
PEOPLE,real_estate_agent,Москва,sale,flat,22,2,44.5,25000000.0,Хорошево-Мневники, Нижние Мневники,,Терехово ,Остров,561797.7528089888
AR Realty - Real Estate Agency,real_estate_agent,Москва,sale,flat,27,2,45.0,25200000.0,Раменки, Янковского,1к3,Аминьевская,Событие,560000.0
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,8,2,54.0,31000000.0,Басманный,Садовая-Черногрязская ,16-18С1,Красные ворота,,574074.074074074
Apple Real Estate,real_estate_agent,Москва,sale,flat,22,2,55.0,32500000.0,Хорошевский, Авиаконструктора Сухого,2к1,ЦСКА,ЛИЦА,590909.0909090909
SUNRISE Estate,real_estate_agent,Москва,sale,flat,41,2,70.7,35900000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы,507779.34936350776
Landis,real_estate_agent,Москва,sale,flat,7,2,64.1,36450000.0,Пресненский,Садовая-Кудринская ,8-10-12,Баррикадная,,568642.7457098285
PEOPLE,real_estate_agent,Москва,sale,flat,22,2,43.4,37000000.0,Хорошево-Мневники, Нижние Мневники,,Терехово ,Остров,852534.5622119816
Isaev Estate,real_estate_agent,Москва,sale,flat,26,2,78.7,38000000.0,Хорошевский,проезд Березовой Рощи,12,ЦСКА,Гранд-парк,482846.25158831
Apple Real Estate,real_estate_agent,Москва,sale,flat,21,2,71.3,41300000.0,Хорошево-Мневники, Нижние Мневники,37Ас3,Терехово ,Остров,579242.6367461431
ID 121738539,realtor,Москва,sale,flat,18,2,62.2,42999999.0,Беговой,Ленинградский проспект,29к3,Динамо,Царская площадь,691318.3118971061
Homeapp,real_estate_agent,Москва,sale,flat,23,2,83.9,45400000.0,Можайский,Гжатская ,5к4,Давыдково,LIFE-Кутузовский,541120.3814064362
SKYLINE MOSCOW CITY,real_estate_agent,Москва,sale,flat,66,2,61.0,46000000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS,754098.3606557377
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,9,2,64.0,46000000.0,Хамовники,Фрунзенская набережная,44С1,Фрунзенская,,718750.0
EstateLiga,real_estate_agent,Москва,sale,flat,19,2,73.0,47000000.0,Хорошево-Мневники,Шелепихинская набережная,34к2зд1,Шелепиха,Сердце Столицы,643835.6164383561
ID 438578,real_estate_agent,Москва,sale,flat,21,2,80.0,47000000.0,Раменки,Мосфильмовская ,88к2с4,Раменки,Мосфильмовский,587500.0
IKON Development,developer,Москва,sale,flat,21,2,72.5,49957575.0,Басманный, Земляной Вал,37,Чкаловская,Дом Chkalov,689070.0
SKYLINE MOSCOW CITY,real_estate_agent,Москва,sale,flat,89,2,90.0,53000000.0,Пресненский,1-й Красногвардейский проезд,21с2,Деловой центр,МФК ОКО,588888.8888888889
Apple Real Estate,real_estate_agent,Москва,sale,flat,7,2,61.0,54000000.0,Замоскворечье,Садовническая ,29,Новокузнецкая,BALCHUG RESIDENCE,885245.9016393443
SKYLINE MOSCOW CITY,real_estate_agent,Москва,sale,flat,95,2,73.0,55000000.0,Пресненский,набережная Пресненская,12,Деловой центр,Башня Федерация,753424.6575342466
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,6,2,86.0,55000000.0,Хамовники,переулок Сивцев Вражек,29/16,Смоленская,,639534.8837209302
Ирина Титова,realtor,Москва,sale,flat,78,2,67.0,55555555.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS,829187.3880597015
Whitewill,real_estate_agent,Москва,sale,flat,22,2,101.2,59000000.0,Южнопортовый,Южнопортовая ,6/28,Дубровка,Portland,583003.9525691699
SKYLINE MOSCOW CITY,real_estate_agent,Москва,sale,flat,89,2,91.0,60000000.0,Пресненский,1-й Красногвардейский проезд,21с2,Деловой центр,МФК ОКО,659340.6593406594
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,6,2,100.0,59950000.0,Замоскворечье,Большая Пионерская ,20,Павелецкая,,599500.0
Apple Real Estate,real_estate_agent,Москва,sale,flat,18,2,84.0,63000000.0,Тверской, Александра Невского,27,Белорусская,,750000.0
Kalinka Group,real_estate_agent,Москва,sale,flat,6,2,49.0,65000000.0,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa,1326530.612244898
Apple Real Estate,real_estate_agent,Москва,sale,flat,8,2,69.0,65823293.0,Хамовники,Смоленский бульвар,22/14,Смоленская,,953960.768115942
Isaev Estate,real_estate_agent,Москва,sale,flat,8,2,55.0,72000000.0,Якиманка,Софийская набережная,34,Новокузнецкая,,1309090.9090909092
АЛЬФА,real_estate_agent,Москва,sale,flat,9,2,40.0,12500000.0,Северное Измайлово,15-я Парковая ,60,Щёлковская,,312500.0
Бест офис на Таганской,real_estate_agent,Москва,sale,flat,16,2,51.7,12500000.0,Лианозово,Череповецкая ,8,Лианозово,,241779.497098646
do A.S.A.P.,real_estate_agent,Москва,sale,flat,9,2,40.8,12800000.0,Преображенское,Халтуринская ,17,Преображенская площадь,,313725.49019607843
Самолет плюс Троицк,real_estate_agent,Москва,sale,flat,9,2,45.0,12990000.0,Коньково, Островитянова,27К1,Коньково,,288666.6666666667
Этажи Москва,real_estate_agent,Москва,sale,flat,25,2,45.0,12950000.0,Крюково,проспект Георгиевский,27к2,Зеленоград — Крюково,Зелёный парк,287777.77777777775
Homeapp,real_estate_agent,Москва,sale,flat,5,2,43.0,12900000.0,Бабушкинский, Менжинского,26К2,Бабушкинская,,300000.0
ID 181929,homeowner,Москва,sale,flat,9,2,80.0,12950000.0,, Семена Гордого,10,Крёкшино,,161875.0
Этажи Москва,real_estate_agent,Москва,sale,flat,20,2,32.7,13100000.0,Солнцево,Производственная ,17,Солнцево,Лучи,400611.620795107
do A.S.A.P.,real_estate_agent,Москва,sale,flat,9,2,45.0,13000000.0,Люблино,Краснодонская ,36,Люблино,,288888.8888888889
На Петровке,real_estate_agent,Москва,sale,flat,5,2,56.0,13000000.0,Можайский,Гжатская ,8,Давыдково,,232142.85714285713
Новые Ватутинки,real_estate_agent,Москва,sale,flat,16,2,59.8,13100000.0,, Гренадерская,9к3,Новомосковская,,219063.54515050168
Славянский Двор Остоженка,real_estate_agent,Москва,sale,flat,19,2,64.5,13000000.0,, Бачуринская,22к2,Новомосковская,,201550.38759689924
One Life,real_estate_agent,Москва,sale,flat,18,2,59.0,13150000.0,Останкинский,Березовая аллея,19к1,Ботанический сад,Апарт-комплекс Легендарный квартал,222881.35593220338
CENTURY 21 Столичная недвижимость,real_estate_agent,Москва,sale,flat,12,2,52.1,13300000.0,Перово,Перовская ,6К1,Шоссе Энтузиастов,,255278.31094049904
Этажи Москва,real_estate_agent,Москва,sale,flat,12,2,51.3,13500000.0,Люблино,Армавирская ,4К2,Люблино,,263157.89473684214
ГОРОДА,real_estate_agent,Москва,sale,flat,22,2,52.0,13500000.0,, Картмазовские Пруды,2к2,Филатов Луг,,259615.38461538462
Наталия Шпрингер,realtor,Москва,sale,flat,9,2,45.1,13400000.0,Коньково, Генерала Антонова,5К1,Беляево,,297117.5166297117
Landis,real_estate_agent,Москва,sale,flat,8,2,42.0,13690000.0,,проспект Магеллана,4,Прокшино,Испанские кварталы,325952.38095238095
Homeapp,real_estate_agent,Москва,sale,flat,5,2,41.6,13900000.0,Гольяново,Амурская ,25К3,Щёлковская,,334134.6153846154
CENTURY 21 RnB Estate,real_estate_agent,Москва,sale,flat,17,2,61.0,13900000.0,, Солнечная,9,Рассказовка,Град Московский,227868.8524590164
МГСН-Проспект Мира,real_estate_agent,Москва,sale,flat,9,2,42.0,13900000.0,Бескудниковский,Бескудниковский бульвар,10К1,Верхние Лихоборы,,330952.38095238095
Homeapp,real_estate_agent,Москва,sale,flat,12,2,45.1,14000000.0,Орехово-Борисово Южное,Каширское шоссе,132К1,Домодедовская,,310421.2860310421
Парадайс,real_estate_agent,Москва,sale,flat,16,2,55.5,13950000.0,Крюково,проспект Георгиевский,к1936,Зеленоград — Крюково,,251351.35135135136
СОЗВЕЗДИЕ,real_estate_agent,Москва,sale,flat,9,2,45.1,14000000.0,Тропарево-Никулино, 26 Бакинских Комиссаров,3к1,Юго-Западная,,310421.2860310421
ФСК Агент,real_estate_agent,Москва,sale,flat,33,2,52.9,14050000.0,Западное Дегунино,Ижорская ,6к6,Ховрино,Бусиновский парк,265595.4631379962
Наталья  Башар,realtor,Москва,sale,flat,9,2,42.0,13999999.0,Кузьминки, Федора Полетаева,32К2,Рязанский проспект,,333333.3095238095
PROНЕДВИЖИМОСТЬ,real_estate_agent,Москва,sale,flat,12,2,52.3,14200000.0,Бирюлево Восточное,Липецкая ,15к1,Лебедянская,,271510.51625239005
ID 96167522,realtor,Москва,sale,flat,9,2,44.9,14200000.0,Коньково, Генерала Антонова,5К1,Беляево,,316258.35189309577
NEXT LEVEL RIELT,real_estate_agent,Москва,sale,flat,30,2,46.6,14300000.0,Покровское-Стрешнево,Строительный проезд,9С6,Трикотажная,Sky Garden,306866.95278969954
АЯКС,real_estate_agent,Москва,sale,flat,12,2,44.9,14350000.0,Северное Тушино,Туристская ,13К2,Сходненская,,319599.10913140315
Наталья  Башар,realtor,Москва,sale,flat,12,2,43.0,14299999.0,Рязанский,1-я Новокузьминская ,4,Окская,,332558.11627906974
Самолет плюс Троицк,real_estate_agent,Москва,sale,flat,21,2,57.6,14500000.0,, Городская,20,Троицк,Тройка,251736.1111111111
PRO ОБМЕН,real_estate_agent,Москва,sale,flat,9,2,40.2,14500000.0,Ломоносовский, Вавилова,86,Новые Черёмушки,,360696.5174129353
ФСК Агент,real_estate_agent,Москва,sale,flat,12,2,59.6,14450000.0,Молжаниновский,Ленинградское шоссе,228к7,Новоподрезково,1-й Ленинградский,242449.66442953018
Мария Бахарева,realtor,Москва,sale,flat,9,2,40.0,14500000.0,Южнопортовый, Трофимова,19К1,Кожуховская,,362500.0
Триумфальная Арка,real_estate_agent,Москва,sale,flat,9,2,40.5,14750000.0,Преображенское,Халтуринская ,13,Преображенская площадь,,364197.5308641975
На Петровке,real_estate_agent,Москва,sale,flat,17,2,50.4,14700000.0,Северное Медведково,Северодвинская ,13К1,Медведково,,291666.6666666667
Этажи Москва,real_estate_agent,Москва,sale,flat,19,2,56.0,14800000.0,, Городская,20,Троицк,Тройка,264285.71428571426
Этажи Москва,real_estate_agent,Москва,sale,flat,14,2,56.0,15000000.0,,бульвар Скандинавский,3к3,Потапово,Скандинавия,267857.14285714284
Московский Квартал,real_estate_agent,Москва,sale,flat,9,2,40.0,14999999.0,Обручевский, Новаторов,40К14,Новаторская,,374999.975
Екатерина Минибаева,realtor,Москва,sale,flat,9,2,47.5,14990000.0,Ясенево,Литовский бульвар,11К5,Ясенево,,315578.94736842107
Место,real_estate_agent,Москва,sale,flat,22,2,50.7,15300000.0,, Картмазовские Пруды,2к3,Филатов Луг,,301775.1479289941
Юлия Раулец,realtor,Москва,sale,flat,18,2,56.0,15280000.0,Бирюлево Восточное,6-я Радиальная ,7/6к1,Царицыно,Царицыно-2,272857.14285714284
PROНЕДВИЖИМОСТЬ,real_estate_agent,Москва,sale,flat,22,2,57.8,15300000.0,Марьино,Поречная ,23,Братиславская,,264705.8823529412
Самолет плюс - Химки,real_estate_agent,Москва,sale,flat,17,2,53.4,15500000.0,Митино,Пятницкое шоссе,31,Митино,,290262.1722846442
Этажи Москва,real_estate_agent,Москва,sale,flat,12,2,44.2,15500000.0,Чертаново Южное, Академика Янгеля,6,Улица Академика Янгеля,,350678.7330316742
WHITE BROKER,real_estate_agent,Москва,sale,flat,9,2,44.4,15500000.0,Южнопортовый,5-я Кожуховская ,20,Кожуховская,,349099.0990990991
Вертикаль,real_estate_agent,Москва,sale,flat,17,2,54.0,15500000.0,Ховрино,Фестивальная ,73К1,Грачёвская,,287037.037037037
ID 207675,realtor,Москва,sale,flat,9,2,44.0,15500000.0,Савеловский,Башиловская ,1К1,Савёловская,,352272.7272727273
ГОРОДА,real_estate_agent,Москва,sale,flat,17,2,50.1,15600000.0,Митино,Пятницкое шоссе,6,Волоколамская,,311377.24550898204
Homeapp,real_estate_agent,Москва,sale,flat,53,2,40.8,15700000.0,Покровское-Стрешнево,Волоколамское шоссе,95/2,Трикотажная,City Bay,384803.92156862747
ОЛ ИНКЛЮЗИВ,real_estate_agent,Москва,sale,flat,23,2,49.5,15800000.0,Рязанский,2-й Грайвороновский проезд,44к2,Стахановская,Кварталы 21/19,319191.9191919192
Новое Летово,developer,Москва,sale,flat,7,2,58.8,15864240.0,,,к1,Филатов Луг,Новое Летово ЖК,269800.0
Homeapp,real_estate_agent,Москва,sale,flat,19,2,54.7,16000000.0,Ховрино,Левобережная ,4к9,Ховрино,,292504.57038391224
Homeapp,real_estate_agent,Москва,sale,flat,19,2,54.8,16000000.0,Ховрино,Левобережная ,4к9,Ховрино,,291970.802919708
Метр-Инфо,real_estate_agent,Москва,sale,flat,9,2,45.0,15900000.0,Очаково-Матвеевское,Матвеевская ,10К4,Матвеевская,,353333.3333333333
VESPER,developer,Москва,sale,flat,21,4,234.3,344593211.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky,1470735.0021340162
Tekta Group,developer,Москва,sale,flat,42,4,82.9,37706298.0,Котловка,Севастопольский проспект,22А,Нагорная,Eniteo,454840.74788902287
VESPER,developer,Москва,sale,flat,4,4,424.6,976580000.0,Пресненский,Трехпрудный переулок,9С2,Пушкинская,Клубный дом Левенсон,2300000.0
ANT Development,developer,Москва,sale,flat,10,4,136.1,152135071.0,Дорогомилово,,3к8,Поклонная,Виктори Парк Резиденсез ЖК,1117818.3027185893
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,37,4,177.3,215000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9,1212633.9537507049
Елена Подстрешная,realtor,Москва,sale,flat,28,4,133.2,41500000.0,Филевский парк,Береговой проезд,1Б,Шелепиха,мой адрес На Береговом,311561.5615615616
Главстрой,developer,Москва,sale,flat,13,4,125.7,61745725.0,Филевский парк,Береговой проезд,2,Фили,Береговой-2,491214.99602227524
Галс-Девелопмент,developer,Москва,sale,flat,20,4,127.0,74295000.0,Басманный,,,Бауманская,Дом 56 ЖК,585000.0
SHOW ME,real_estate_agent,Москва,sale,flat,23,4,244.1,78000000.0,Хорошевский, Гризодубовой,2,ЦСКА,Гранд-парк,319541.17165096273
BELFORT,real_estate_agent,Москва,sale,flat,19,4,110.0,63000000.0,Пресненский,Красногвардейский бульвар,15С2,Улица 1905 года,Счастье на Пресне,572727.2727272727
MR Group,developer,Москва,sale,flat,54,4,116.85,66347430.0,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34,567800.0
SHOW ME,real_estate_agent,Москва,sale,flat,6,4,324.5,250000000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence,770416.0246533128
MR Group,developer,Москва,sale,flat,46,4,95.0,39202963.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК,412662.7684210526
Kalinka Group,real_estate_agent,Москва,sale,flat,9,4,233.0,600000000.0,Хамовники,Малая Пироговская ,8,Спортивная,Barrin House,2575107.296137339
Главстрой,developer,Москва,sale,flat,7,4,107.3,53102770.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК,494900.0
Kalinka Group,real_estate_agent,Москва,sale,flat,6,4,157.0,250000000.0,Замоскворечье,Садовническая набережная,7,Новокузнецкая,BALCHUG VIEWPOINT,1592356.6878980892
МИЭЛЬ Офис Пречистенка,real_estate_agent,Москва,sale,flat,16,4,113.4,115000000.0,Пресненский,Большая Бронная ,2/6,Тверская,,1014109.3474426807
Tekta Group,developer,Москва,sale,flat,34,4,82.9,39153670.0,Обручевский,,,Воронцовская,Эвер ЖК,472299.99999999994
NIKA ESTATE,real_estate_agent,Москва,sale,flat,9,4,143.0,108900000.0,Таганский,Серебрянический переулок,8,Китай-город,Титул на Серебрянической,761538.4615384615
Intermark Real Estate,real_estate_agent,Москва,sale,flat,8,4,100.0,57000000.0,Гагаринский, Строителей,6К6,Университет,,570000.0
Sminex,developer,Москва,sale,flat,14,4,198.4,557450000.0,Якиманка,,,Полянка,Лаврушинский ЖК,2809727.822580645
Kalinka Group,real_estate_agent,Москва,sale,flat,14,4,200.0,430000000.0,Хамовники, Усачева,11Г,Фрунзенская,Садовые кварталы,2150000.0
TOUCH,developer,Москва,sale,flat,13,4,129.88,72452704.0,Южнопортовый,,к2,Дубровка,Шампайн ЖК,557843.4246997228
Kalinka Group,real_estate_agent,Москва,sale,flat,9,4,142.5,108900000.0,Таганский,Серебрянический переулок,8,Китай-город,Титул на Серебрянической,764210.5263157894
Пионер,developer,Москва,sale,flat,18,4,112.8,111829581.0,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT,991396.9946808511
Kalinka Group,real_estate_agent,Москва,sale,flat,8,4,92.0,60000000.0,Басманный,Нижняя Красносельская ,35С50,Бауманская,TriBeCa APARTMENTS,652173.9130434783
Homeapp,real_estate_agent,Москва,sale,flat,5,4,107.7,34950000.0,Дорогомилово,Студенческая ,35,Студенческая,,324512.5348189415
Absolute Premium,developer,Москва,sale,flat,17,4,155.9,172363000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК,1105599.7434252726
Kalinka Group,real_estate_agent,Москва,sale,flat,29,4,144.6,57840000.0,Якиманка,Мытная ,40к3,Шаболовская,Sky House,400000.0
Kalinka Group,real_estate_agent,Москва,sale,flat,8,4,75.0,59500000.0,Замоскворечье,переулок Старый Толмачевский,17с1,Новокузнецкая,,793333.3333333334
Ташир,developer,Москва,sale,flat,32,4,163.8,,Черемушки,Херсонская ,43к5,Зюзино,ONYX Deluxe,
Kalinka Group,real_estate_agent,Москва,sale,flat,29,4,156.4,63650000.0,Якиманка,Мытная ,40к3,Шаболовская,Sky House,406969.3094629156
Донстрой,developer,Москва,sale,flat,26,4,105.9,42201150.0,Лефортово,бульвар Сенкевича,,Римская,Символ,398500.0
Kalinka Group,real_estate_agent,Москва,sale,flat,29,4,152.0,61120000.0,Якиманка,Мытная ,40к3,Шаболовская,Sky House,402105.2631578947
MR Group,developer,Москва,sale,flat,46,4,96.1,39624279.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК,412323.4027055151
Пионер,developer,Москва,sale,flat,11,4,178.6,167141024.0,Даниловский,,,Павелецкая,Опус ЖК,935840.0
ID 413522,realtor,Москва,sale,flat,11,4,303.0,501000000.0,Хамовники,Трубецкая ,12,Фрунзенская,Садовые кварталы,1653465.3465346536
Иван Усачев,realtor,Москва,sale,flat,26,4,250.0,64849000.0,Тропарево-Никулино, Коштоянца,20К4,Юго-Западная,,259396.0
Tekta Group,developer,Москва,sale,flat,34,4,86.5,31511950.0,Нагорный,,2,Нагорная,Твелв ЖК,364300.0
TimeProperty,real_estate_agent,Москва,sale,flat,9,4,225.7,169275000.0,Арбат,Филипповский переулок,8С1,Кропоткинская,Филипповский,750000.0
Whitewill,real_estate_agent,Москва,sale,flat,7,4,190.0,140000000.0,Беговой,Ленинградский проспект,15С9,Белорусская,Bolshevik,736842.1052631579
MR Group,developer,Москва,sale,flat,59,4,94.9,,Можайский,,,Давыдково,Веер ЖК,
BARNES International Realty,real_estate_agent,Москва,sale,flat,8,4,200.0,110000000.0,Тверской,Сущевская ,31,Менделеевская,,550000.0
UNIQ Development,developer,Москва,sale,flat,25,4,178.8,132312000.0,Фили-Давыдково,Малая Филевская ,46,Кунцевская,Springs,740000.0
SHOW ME,real_estate_agent,Москва,sale,flat,29,4,92.9,29500000.0,Фили-Давыдково, Ивана Франко,6,Кунцевская,MainStreet,317545.748116254
Пионер,developer,Москва,sale,flat,32,4,114.8,68567744.0,Даниловский,,,Павелецкая,Хай Лайф ЖК,597280.0
BARNES International Realty,real_estate_agent,Москва,sale,flat,11,4,168.3,249000000.0,Хамовники,2-я Фрунзенская ,8,Фрунзенская,Андреевский,1479500.891265597
Villagio Realty,real_estate_agent,Москва,sale,flat,18,4,169.0,83900000.0,Раменки,Минская ,1ГК1,Ломоносовский проспект,Золотые Ключи 2,496449.7041420118
EraOneHolding,developer,Москва,sale,flat,8,4,180.7,247273684.0,Арбат, Арбат,24,Смоленская,Turandot Residences,1368421.0514665192
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,47,4,131.9,59355000.0,Бутырский,Новодмитровская ,2к5,Дмитровская,Савеловский Сити,450000.0
КОРТРОС,developer,Москва,sale,flat,49,4,109.76,55428800.0,Марьина роща, Веткина,2С8,Марьина Роща,TATE ,505000.0
Kalinka Group,real_estate_agent,Москва,sale,flat,6,4,192.0,105000000.0,Тверской, Малая Дмитровка,23/15С1,Пушкинская,,546875.0
Whitewill,real_estate_agent,Москва,sale,flat,26,4,250.0,64850000.0,Тропарево-Никулино, Коштоянца,20К4,Юго-Западная,,259400.0
MR Group,developer,Москва,sale,flat,7,4,257.83,747707000.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,LUCE,2900000.0
Киноцентр,developer,Москва,sale,flat,20,4,122.2,114868000.0,Пресненский,Дружинниковская ,15,Краснопресненская,SkyView,940000.0
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,18,4,157.0,165000000.0,Академический,Новочеремушкинская ,17,Академическая,Новочеремушкинская 17,1050955.414012739
Группа Родина,developer,Москва,sale,flat,19,4,92.0,47172555.0,Можайский,,,Давыдково,Родина Парк ЖК,512745.1630434783
VESPER,developer,Москва,sale,flat,6,4,620.1,2418390000.0,Пресненский,Трехпрудный переулок,9С2,Пушкинская,Клубный дом Левенсон,3900000.0
СТ Тауэрс,developer,Москва,sale,flat,66,4,209.7,179293500.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS,855000.0
Kalinka Group,real_estate_agent,Москва,sale,flat,8,4,132.0,91000000.0,Мещанский,Большой Сухаревский переулок,11,Сухаревская,,689393.9393939395
PIONEER,developer,Москва,sale,flat,22,4,92.5,42442792.0,Марьина роща,Полковая ,1С12,Савёловская,PRIDE,458840.9945945946
BARNES International Realty,real_estate_agent,Москва,sale,flat,5,4,98.5,46000000.0,Тверской,2-й Волконский переулок,12,Цветной бульвар,,467005.076142132
Ташир,developer,Москва,sale,flat,17,4,103.7,58020150.0,Раменки,Мичуринский проспект,вл30Б,Ломоносовский проспект,Legacy,559500.0
Whitewill,real_estate_agent,Москва,sale,flat,13,4,93.0,79950000.0,Раменки,Ломоносовский проспект,36,Ломоносовский проспект,Счастье на Ломоносовском,859677.4193548387
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,4,4,212.1,490000000.0,Раменки,Минская ,2Вк5,Минская,Снегири Эко,2310231.0231023105
Ташир,developer,Москва,sale,flat,16,4,103.7,59627500.0,Даниловский,Малая Тульская ,2,Тульская,DECO RESIDENCE (Апартаменты премиум-класса),575000.0
Capital Group,developer,Москва,sale,flat,30,4,138.1,50372662.0,Якиманка,Мытная ,40к1,Серпуховская,Sky House,364754.97465604637
Sminex,developer,Москва,sale,flat,6,4,176.5,360150000.0,Басманный,Потаповский переулок,5С4,Чистые пруды,Чистые Пруды,2040509.9150141643
Point Estate Город,real_estate_agent,Москва,sale,flat,13,4,93.0,79950000.0,Раменки,Ломоносовский проспект,36,Ломоносовский проспект,Счастье на Ломоносовском,859677.4193548387
Kalinka Group,real_estate_agent,Москва,sale,flat,4,4,174.1,330000000.0,Тверской, Фадеева,4А,Новослободская,Итальянский Квартал,1895462.3779437107
Донстрой,developer,Москва,sale,flat,12,4,153.6,97689600.0,Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река,636000.0
Kalinka Group,real_estate_agent,Москва,sale,flat,44,4,200.5,160000000.0,Раменки,Минская ,2,Минская,Долина Сетунь,798004.9875311721
Dominanta,developer,Москва,sale,flat,34,4,130.6,97362300.0,Раменки,проезд 4-й Сетуньский,10Ас2,Парк Победы,hideOUT,745500.0
Sminex,developer,Москва,sale,flat,22,4,149.2,129650000.0,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК,868967.8284182306
РГ-Девелопмент,developer,Москва,sale,flat,9,4,83.4,29279905.0,Головинский,Северный ао,,Коптево,Михалковский ЖК,351077.99760191847
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,7,4,136.9,220000000.0,Якиманка,2-й Спасоналивковский переулок,6,Октябрьская,Полянка/44,1607012.4178232285
FORMA,developer,Москва,sale,flat,26,4,126.55,103631795.0,Пресненский,к2.1,к2.1,Белорусская,Репаблик ЖК,818900.0
Донстрой,developer,Москва,sale,flat,49,4,122.2,54941120.0,Раменки,Кинематографический кв-л,,Мичуринский проспект,Событие ЖК,449600.0
Delight Realty,real_estate_agent,Москва,sale,flat,14,4,135.8,65000000.0,Фили-Давыдково,Звенигородская ,5,Кунцевская,,478645.0662739322
Стадион Спартак,developer,Москва,sale,flat,22,4,142.5,97669500.0,Покровское-Стрешнево,Вивальди кв-л,,Спартак,Клубный Город на Реке Примавера ЖК,685400.0
Sminex,developer,Москва,sale,flat,6,4,502.7,1127040000.0,Хамовники,3-й Обыденский переулок,1С1,Кропоткинская,Клубный дом Обыденский № 1,2241973.3439427093
TimeProperty,real_estate_agent,Москва,sale,flat,6,4,169.0,90000000.0,Пресненский,Мерзляковский переулок,13,Арбатская,,532544.3786982249
Tekta Group,developer,Москва,sale,flat,27,4,86.9,38731330.0,Даниловский,,1,Крестьянская застава,Эра ЖК,445699.99999999994
Kalinka Group,real_estate_agent,Москва,sale,flat,12,4,300.0,250000000.0,Замоскворечье,Климентовский переулок,2,Новокузнецкая,,833333.3333333334
Основа,developer,Москва,sale,flat,29,4,94.8,28170768.0,Фили-Давыдково, Ивана Франко,6,Кунцевская,MainStreet,297160.0
Владислав Карпов,realtor,Москва,sale,flat,31,4,89.0,50500000.0,Раменки, Лобачевского,120к1,Аминьевская,Крылья,567415.7303370787
ID 20496277,unknown,Москва,sale,flat,14,4,93.4,36500000.0,Останкинский,Сельскохозяйственная ,39,Ботанический сад,Green park,390792.2912205567
КОРТРОС,developer,Москва,sale,flat,14,4,75.47,41583970.0,Пресненский,Шмитовский проезд,39к9,Шелепиха,Headliner,551000.0
MHEstate - Элитная недвижимость,real_estate_agent,Москва,sale,flat,23,4,201.0,105000000.0,Раменки,Мичуринский проспект,26,Раменки,,522388.05970149254
Концерн КРОСТ,developer,Москва,sale,flat,19,4,105.4,50170400.0,Щукино, Расплетина,2к1,Октябрьское поле,Театральный квартал,476000.0
PEOPLE,real_estate_agent,Москва,sale,flat,5,4,300.0,495000000.0,Хамовники,Нащокинский переулок,7,Кропоткинская,Академия,1650000.0
